event,column,row,timebin,adc,tdc,hit
0,1,11,7,156,0,0
0,1,12,0,151,0,0
0,1,12,1,152,0,0
0,1,12,2,152,0,0
0,1,12,3,151,0,0
0,1,12,4,152,0,0
0,1,12,5,152,0,0
0,1,12,6,152,0,0
0,1,12,7,152,0,0
0,1,13,0,155,0,0
0,1,13,1,156,0,0
0,1,13,2,156,0,0
0,1,13,3,156,0,0
0,1,13,4,156,0,0
0,1,13,5,157,0,0
0,1,13,6,157,0,0
0,1,13,7,157,0,0
0,1,14,0,154,0,0
0,1,14,1,154,0,0
0,1,14,2,155,0,0
0,1,14,3,154,0,0
0,1,14,4,155,0,0
0,1,14,5,156,0,0
0,1,14,6,156,0,0
0,1,14,7,155,0,0
0,1,15,0,151,0,0
0,1,15,1,152,0,0
0,1,15,2,152,0,0
0,1,15,3,152,0,0
0,1,15,4,152,0,0
0,1,15,5,152,0,0
0,1,15,6,153,0,0
0,1,15,7,153,0,0
0,1,16,0,155,0,0
0,1,16,1,156,0,0
0,1,16,2,156,0,0
0,1,16,3,157,0,0
0,1,16,4,158,0,0
0,1,16,5,158,0,0
0,1,16,6,158,0,0
0,1,16,7,157,0,0
0,1,17,0,162,0,0
0,1,17,1,163,0,0
0,1,17,2,163,0,0
0,1,17,3,163,0,0
0,1,17,4,163,0,0
0,1,17,5,163,0,0
0,1,17,6,164,0,0
0,1,17,7,164,0,0
0,1,18,0,144,0,0
0,1,18,1,144,0,0
0,1,18,2,144,0,0
0,1,18,3,144,0,0
0,1,18,4,144,0,0
0,1,18,5,144,0,0
0,1,18,6,144,0,0
0,1,18,7,145,0,0
0,1,19,0,176,0,0
0,1,19,1,176,0,0
0,1,19,2,175,0,0
0,1,19,3,175,0,0
0,1,19,4,175,0,0
0,1,19,5,175,0,0
0,1,19,6,176,0,0
0,1,19,7,176,0,0
0,1,20,0,161,0,0
0,1,20,1,161,0,0
0,1,20,2,161,0,0
0,1,20,3,162,0,0
0,1,20,4,162,0,0
0,1,20,5,162,0,0
0,1,20,6,163,0,0
0,1,20,7,162,0,0
0,1,21,0,165,0,0
0,1,21,1,166,0,0
0,1,21,2,167,0,0
0,1,21,3,167,0,0
0,1,21,4,166,0,0
0,1,21,5,166,0,0
0,1,21,6,166,0,0
0,1,21,7,165,0,0
0,1,22,0,163,0,0
0,1,22,1,164,0,0
0,1,22,2,164,0,0
0,1,22,3,164,0,0
0,1,22,4,165,0,0
0,1,22,5,165,0,0
0,1,22,6,165,0,0
0,1,22,7,165,0,0
0,1,23,0,149,0,0
0,1,23,1,148,0,0
0,1,23,2,148,0,0
0,1,23,3,149,0,0
0,1,23,4,148,0,0
0,1,23,5,148,0,0
0,1,23,6,149,0,0
0,1,23,7,148,0,0
0,1,24,0,143,0,0
0,1,24,1,144,0,0
0,1,24,2,144,0,0
0,1,24,3,144,0,0
0,1,24,4,144,0,0
